社員番号,フォロワー数,いいね数
2215006,44,55
2214900,29,52
2214801,26,0
2214702,107,230
2214603,41,63
2214504,60,60
2214405,16,5
2214207,35,11
2214108,47,11
2214009,23,117
2213903,39,159
2213804,53,155
2213408,53,56
2213309,23,19
2213200,42,59
2213101,7,0
2212906,91,459
2212708,20,8
2212609,20,4
2212500,47,5
2212401,43,48
2212302,108,709
2212203,86,453
2212104,50,114
2212005,35,21
2211909,73,198
2211800,20,5
2211701,58,56
2211602,171,1734
2211503,30,35
2211404,22,17
2211305,40,52
2211206,32,12
2211107,41,20
2211008,44,0
2210902,19,0
2210803,42,23
2210605,46,3
2210506,38,17
2210407,82,43
2210308,36,75
2210209,10,8
2210100,63,35
2210001,44,54
2209906,86,117
2209807,62,765
2209708,65,178
2209609,23,20
2209500,19,6
2209401,37,61
2209302,23,16
2209203,17,19
2209104,18,8
2209005,22,23
2208909,30,8
2208800,44,101
2208701,31,33
2208602,39,116
2208503,54,28
2208404,27,17
2208305,57,0
2208206,34,28
2207902,73,77
2207803,145,415
2207704,54,333
2207605,45,12
2207407,64,321
2207308,16,22
2207209,28,20
2207100,32,3
2207001,46,67
2206905,38,5
2206806,8,0
2206707,82,764
2206608,14,55
2206509,31,35
2206400,42,12
2206301,71,133
2206202,83,153
2206103,28,0
2206004,18,22
2205908,116,2357
2205809,108,252
2205601,75,613
2205502,67,202
2205403,69,361
2205304,13,7
2205106,49,66
2205007,15,40
2204901,26,161
2204802,49,57
2204703,36,56
2204604,22,4
2204406,58,345
2204307,29,57
2204208,28,17
2204109,122,1422
2204000,23,65
2203904,103,210
2203805,28,13
2203706,44,40
2203607,15,17
2203508,53,36
2203409,20,0
2203300,64,96
2203201,36,8
2203102,60,119
2202907,44,268
2202709,31,8
2202501,31,20
2202402,39,22
2202204,30,6
2202006,15,24
2201702,37,31
2201603,40,38
2201504,21,8
2201405,42,106
2201306,21,0
2201207,44,51
2201108,96,326
2201009,90,394
2200903,66,2
2200804,17,0
2200705,24,3
2200606,52,78
2200507,76,83
2200408,18,20
2200309,55,63
2181905,64,2135
2181707,63,2502
2181608,16,9
2181400,58,745
2181301,19,8
2181103,51,407
2181004,14,32
2180908,33,303
2180700,33,25
2180601,36,493
2180502,45,130
2180403,35,197
2180205,21,185
2180106,298,6211
2180007,33,237
2179803,59,1352
2179605,14,77
2179506,24,117
2179407,25,195
2179100,16,131
2179001,46,885
2178905,21,0
2178806,45,137
2178509,19,62
2178301,18,6
2178202,52,212
2178103,8,6
2178004,25,72
2177809,24,0
2177700,33,87
2177304,49,114
2177106,36,88
2177007,54,72
2176901,36,145
2176802,16,0
2176406,27,464
2176208,51,137
2176109,22,53
2175904,47,10
2175805,39,97
2175607,27,118
2175508,48,23
2175201,22,3
2175003,17,7
2174709,16,9
2174600,37,37
2174501,18,108
2174303,233,1086
2174204,43,130
2174105,50,63
2173900,75,388
2173801,29,65
2173702,57,235
2173405,50,71
2173306,35,3
2173108,16,4
2173009,25,26
2172804,59,158
2172705,37,116
2172606,61,12
